Team,code,team_and_mascot
Ohio State,194,Ohio State Buckeyes
LSU,99,LSU Tigers
Miami,2390,Miami Hurricanes
Florida State,52,Florida State Seminoles
Auburn,2,Auburn Tigers
Iowa State,66,Iowa State Cyclones
Georgia Tech,59,Georgia Tech Yellow Jackets
South Carolina,2579,South Carolina Gamecocks
Nebraska,158,Nebraska Cornhuskers
Tennessee,2633,Tennessee Volunteers
Utah,254,Utah Utes
South Florida,58,South Florida Bulls
TCU,2628,TCU Horned Frogs
Texas A&M,245,Texas A&M Aggies
Rice,242,Rice Owls
Rutgers,164,Rutgers Scarlet Knights
Louisville,97,Louisville Cardinals
Central Michigan,2117,Central Michigan Chippewas
NC State,154,NC State Wolfpack
California,25,California Golden Bears
Kansas,2305,Kansas Jayhawks
Tulane,2655,Tulane Green Wave
Maryland,120,Maryland Terrapins
Kentucky,96,Kentucky Wildcats
Indiana,84,Indiana Hoosiers
Wisconsin,275,Wisconsin Badgers
Mississippi State,344,Mississippi State Bulldogs
UCF,2116,UCF Knights
Oregon,2483,Oregon Ducks
Washington,264,Washington Huskies
UNLV,2439,UNLV Rebels
Georgia,61,Georgia Bulldogs
Wyoming,2751,Wyoming Cowboys
Minnesota,135,Minnesota Golden Gophers
Michigan,130,Michigan Wolverines
Michigan State,127,Michigan State Spartans
Ole Miss,145,Ole Miss Rebels
Washington State,265,Washington State Cougars
Western Kentucky,98,Western Kentucky Hilltoppers
App State,2026,App State Mountaineers
Wake Forest,154,Wake Forest Demon Deacons
Virginia,258,Virginia Cavaliers
Houston,248,Houston Cougars
Texas State,326,Texas State Bobcats
Penn State,213,Penn State Nittany Lions
Hawai'i,62,Hawai'i Rainbow Warriors
Temple,218,Temple Owls
Utah State,328,Utah State Aggies
Oklahoma State,197,Oklahoma State Cowboys
Arizona,12,Arizona Wildcats
Fresno State,278,Fresno State Bulldogs
Arizona State,9,Arizona State Sun Devils
Purdue,2509,Purdue Boilermakers
Memphis,235,Memphis Tigers
Tulsa,202,Tulsa Golden Hurricane
Oklahoma,201,Oklahoma Sooners
Arkansas State,2032,Arkansas State Red Wolves
USC,30,USC Trojans
Missouri,142,Missouri Tigers
Duke,150,Duke Blue Devils
Louisiana Tech,2348,Louisiana Tech Bulldogs
Troy,2653,Troy Trojans
SMU,2567,SMU Mustangs
Liberty,2335,Liberty Flames
Kansas State,2306,Kansas State Wildcats
Iowa,2294,Iowa Hawkeyes
Bowling Green,189,Bowling Green Falcons
Pittsburgh,221,Pittsburgh Panthers
Kent State,2309,Kent State Golden Flashes
San Diego State,21,San Diego State Aztecs
Boston College,103,Boston College Eagles
Illinois,356,Illinois Fighting Illini
UAB,5,UAB Blazers
Vanderbilt,238,Vanderbilt Commodores
Boise State,68,Boise State Broncos
South Alabama,6,South Alabama Jaguars
BYU,252,BYU Cougars
James Madison,256,James Madison Dukes
North Texas,249,North Texas Mean Green
West Virginia,277,West Virginia Mountaineers
Northern Illinois,2459,Northern Illinois Huskies
UL Monroe,2433,UL Monroe Warhawks
Florida,57,Florida Gators
Uconn,41,UConn Huskies
Arkansas,8,Arkansas Razorbacks
Navy,2426,Navy Midshipmen
Air Force,2005,Air Force Falcons
New Mexico State,166,New Mexico State Aggies
Florida International,2229,Florida International Panthers
Northwestern,77,Northwestern Wildcats
Delaware,48,Delaware Blue Hens
Texas Tech,2641,Texas Tech Red Raiders
San Jose State,23,San José State Spartans
Stanford,24,Stanford Cardinal
UCLA,26,UCLA Bruins
Colorado State,36,Colorado State Rams
Colorado,38,Colorado Buffaloes
Jacksonville State,55,Jacksonville State Gamecocks
Notre Dame,87,Notre Dame Fighting Irish
Massachusetts,113,Massachusetts Minutemen
East Carolina,151,East Carolina Pirates
North Carolina,153,North Carolina Tar Heels
New Mexico,167,New Mexico Lobos
Syracuse,183,Syracuse Orange
Miami (OH),193,Miami (OH) RedHawks
Ohio,195,Ohio Bobcats
Oregon State,204,Oregon State Beavers
Clemson,228,Clemson Tigers
Baylor,239,Baylor Bears
Texas,251,Texas Longhorns
Virginia Tech,259,Virginia Tech Hokies
Marshall,276,Marshall Thundering Herd
Georgia Southern,290,Georgia Southern Eagles
Old Dominion,295,Old Dominion Monarchs
Louisiana,309,Louisiana Ragin' Cajuns
Coastal Carolina,324,Coastal Carolina Chanticleers
Alabama,333,Alabama Crimson Tide
Kennesaw State,338,Kennesaw State Owls
Army,349,Army Black Knights
Akron,2006,Akron Zips
Ball State,2050,Ball State Cardinals
Buffalo,2084,Buffalo Bulls
Cincinnati,2132,Cincinnati Bearcats
Eastern Michigan,2199,Eastern Michigan Eagles
Florida Atlantic,2226,Florida Atlantic Owls
Georgia State,2247,Georgia State Panthers
Middle Tennessee,2393,Middle Tennessee Blue Raiders
Charlotte,2429,Charlotte 49ers
Nevada,2440,Nevada Wolf Pack
Sam Houston,2534,Sam Houston Bearkats
Southern Miss,2572,Southern Miss Golden Eagles
Missouri State,2623,Missouri State Bears
UTSA,2636,UTSA Roadrunners
UTEP,2638,UTEP Miners
Toledo,2649,Toledo Rockets
Western Michigan,2711,Western Michigan Broncos